t_min,lon,lat
87.0,-58.996220200771226,-2.145809389445327
87.0,-58.99541024379363,-2.1460791859271025
87.0,-59.00107994263679,-2.146348982408878
87.0,-58.99676017208962,-2.146348982408878
87.0,-59.00242987093279,-2.147158371854205
87.0,-59.0008099569776,-2.147967761299532
87.0,-58.996220200771226,-2.147967761299532
87.0,-58.99568022945283,-2.1474281683359804
87.0,-58.995950215112025,-2.1482375577813073
87.0,-58.99568022945283,-2.1482375577813073
87.0,-58.996220200771226,-2.1485073542630833
87.0,-58.9991900430224,-2.1490469472266343
87.0,-58.99838008604481,-2.1490469472266343
87.0,-58.99757012906721,-2.1490469472266343
87.0,-58.99649018643042,-2.1490469472266343
90.0,-58.998650071704006,-2.1423020351822437
90.0,-59.0008099569776,-2.1423020351822437
90.0,-58.999460028681604,-2.1423020351822437
90.0,-58.99838008604481,-2.1423020351822437
90.0,-58.99703015774882,-2.142841628145795
90.0,-59.002159885273585,-2.1431114246275706
90.0,-59.00161991395519,-2.142841628145795
90.0,-59.00161991395519,-2.144190610554673
90.0,-59.00188989961439,-2.1447302035182245
90.0,-58.996220200771226,-2.1447302035182245
90.0,-58.99649018643042,-2.1447302035182245
90.0,-58.99649018643042,-2.145
90.0,-58.99514025813443,-2.1455395929635515
90.0,-58.99514025813443,-2.145809389445327
90.0,-58.99568022945283,-2.1468885753724294
90.0,-58.99541024379363,-2.146618778890654
90.0,-59.00242987093279,-2.1476979648177563
90.0,-59.00188989961439,-2.1476979648177563
90.0,-59.00161991395519,-2.1476979648177563
90.0,-58.99541024379363,-2.1474281683359804
90.0,-59.00107994263679,-2.1474281683359804
90.0,-59.00107994263679,-2.147967761299532
90.0,-59.0002699856592,-2.1485073542630833
90.0,-58.99676017208962,-2.1485073542630833
90.0,-58.997840114726415,-2.1490469472266343
93.0,-58.9997300143408,-2.1414926457369168
93.0,-58.999460028681604,-2.142032238700468
93.0,-59.0002699856592,-2.1423020351822437
93.0,-58.9991900430224,-2.142032238700468
93.0,-58.99892005736321,-2.142032238700468
93.0,-58.99730014340802,-2.1423020351822437
93.0,-59.001349928295994,-2.1425718316640197
93.0,-58.99757012906721,-2.142841628145795
93.0,-59.00188989961439,-2.1425718316640197
93.0,-58.99703015774882,-2.1425718316640197
93.0,-59.002159885273585,-2.142841628145795
93.0,-58.99676017208962,-2.143651017591122
93.0,-59.00188989961439,-2.1444604070364486
93.0,-58.996220200771226,-2.144190610554673
93.0,-58.995950215112025,-2.1444604070364486
93.0,-58.99487027247523,-2.1452697964817755
93.0,-58.99568022945283,-2.1460791859271025
93.0,-58.99514025813443,-2.146348982408878
93.0,-58.99541024379363,-2.146348982408878
93.0,-58.99568022945283,-2.1476979648177563
93.0,-59.002159885273585,-2.147967761299532
93.0,-59.001349928295994,-2.147967761299532
93.0,-58.99568022945283,-2.147967761299532
93.0,-58.995950215112025,-2.1485073542630833
93.0,-59.0002699856592,-2.1487771507448588
93.0,-58.999460028681604,-2.1490469472266343
93.0,-58.99892005736321,-2.1490469472266343
93.0,-58.99892005736321,-2.1493167437084097
93.0,-58.99811010038561,-2.1493167437084097
93.0,-58.996220200771226,-2.1490469472266343
96.0,-59.0002699856592,-2.1414926457369168
96.0,-59.0,-2.1414926457369168
96.0,-58.99838008604481,-2.142032238700468
96.0,-59.0002699856592,-2.142032238700468
96.0,-58.997840114726415,-2.142032238700468
96.0,-59.002159885273585,-2.1423020351822437
96.0,-59.00107994263679,-2.1423020351822437
96.0,-58.99811010038561,-2.1425718316640197
96.0,-59.00188989961439,-2.1431114246275706
96.0,-58.998650071704006,-2.1431114246275706
96.0,-59.002159885273585,-2.144190610554673
96.0,-58.996220200771226,-2.1439208140728976
96.0,-58.995950215112025,-2.145
96.0,-58.99568022945283,-2.145809389445327
96.0,-58.99541024379363,-2.145809389445327
96.0,-58.99487027247523,-2.145809389445327
96.0,-58.99487027247523,-2.1455395929635515
96.0,-58.99514025813443,-2.1460791859271025
96.0,-58.99487027247523,-2.1460791859271025
96.0,-58.99541024379363,-2.1468885753724294
96.0,-59.001349928295994,-2.1474281683359804
96.0,-59.002159885273585,-2.1476979648177563
96.0,-59.00188989961439,-2.147967761299532
96.0,-59.00107994263679,-2.1476979648177563
96.0,-59.00107994263679,-2.1482375577813073
96.0,-58.99649018643042,-2.1482375577813073
96.0,-58.99541024379363,-2.1482375577813073
96.0,-59.0,-2.1485073542630833
96.0,-58.99568022945283,-2.1485073542630833
96.0,-58.99676017208962,-2.1490469472266343
96.0,-58.99649018643042,-2.1487771507448588
96.0,-58.99892005736321,-2.1487771507448588
96.0,-58.9991900430224,-2.1493167437084097
96.0,-58.998650071704006,-2.1490469472266343
96.0,-58.997840114726415,-2.1493167437084097
96.0,-58.99730014340802,-2.1487771507448588
96.0,-58.996220200771226,-2.1487771507448588
96.0,-58.995950215112025,-2.1487771507448588
96.0,-58.995950215112025,-2.1493167437084097
99.0,-58.9997300143408,-2.1412228492551413
99.0,-58.999460028681604,-2.1414926457369168
99.0,-59.0002699856592,-2.1417624422186927
99.0,-58.999460028681604,-2.1417624422186927
99.0,-58.99892005736321,-2.1417624422186927
99.0,-58.99838008604481,-2.1417624422186927
99.0,-58.99811010038561,-2.142032238700468
99.0,-58.99757012906721,-2.142032238700468
99.0,-58.99703015774882,-2.1423020351822437
99.0,-59.00188989961439,-2.1423020351822437
99.0,-59.00161991395519,-2.1425718316640197
99.0,-58.99811010038561,-2.1423020351822437
99.0,-58.997840114726415,-2.142841628145795
99.0,-59.00188989961439,-2.144190610554673
99.0,-58.995950215112025,-2.144190610554673
99.0,-59.00242987093279,-2.1455395929635515
99.0,-58.99460028681603,-2.1452697964817755
99.0,-58.99460028681603,-2.146348982408878
99.0,-58.99514025813443,-2.146618778890654
99.0,-58.99541024379363,-2.147158371854205
99.0,-59.001349928295994,-2.1476979648177563
99.0,-59.002159885273585,-2.1482375577813073
99.0,-58.996220200771226,-2.1482375577813073
99.0,-59.000539971318396,-2.1485073542630833
99.0,-58.99541024379363,-2.1485073542630833
99.0,-59.0,-2.1487771507448588
99.0,-58.998650071704006,-2.1487771507448588
99.0,-58.9997300143408,-2.1490469472266343
99.0,-58.999460028681604,-2.1493167437084097
99.0,-58.998650071704006,-2.1493167437084097
99.0,-58.996220200771226,-2.1493167437084097
99.0,-58.99757012906721,-2.1493167437084097
99.0,-58.997840114726415,-2.1495865401901857
102.0,-58.999460028681604,-2.140953052773366
102.0,-59.0,-2.1412228492551413
102.0,-58.9991900430224,-2.1414926457369168
102.0,-58.9991900430224,-2.1417624422186927
102.0,-58.998650071704006,-2.1417624422186927
102.0,-58.997840114726415,-2.1423020351822437
102.0,-59.00242987093279,-2.1423020351822437
102.0,-59.002159885273585,-2.1425718316640197
102.0,-59.0008099569776,-2.142032238700468
102.0,-58.99730014340802,-2.142032238700468
102.0,-59.00161991395519,-2.1423020351822437
102.0,-58.99676017208962,-2.1425718316640197
102.0,-58.99757012906721,-2.1431114246275706
102.0,-58.99703015774882,-2.1431114246275706
102.0,-58.99676017208962,-2.143381221109346
102.0,-58.99676017208962,-2.1452697964817755
102.0,-58.99568022945283,-2.1447302035182245
